CMDLINE C:\Users\sebas\Anaconda3\python.exe combined_test.py
MEM 133.734375 1521115212.2943
MEM 133.734375 1521115212.3949
MEM 133.734375 1521115212.4953
MEM 133.734375 1521115212.5954
MEM 133.730469 1521115212.6968
MEM 133.730469 1521115212.7972
MEM 133.730469 1521115212.8975
MEM 133.730469 1521115212.9976
MEM 133.730469 1521115213.0982
MEM 133.730469 1521115213.1985
MEM 133.730469 1521115213.2989
MEM 133.730469 1521115213.3990
MEM 133.730469 1521115213.4992
MEM 133.730469 1521115213.5995
MEM 133.730469 1521115213.6997
MEM 133.730469 1521115213.8002
MEM 133.730469 1521115213.9011
MEM 133.730469 1521115214.0019
MEM 133.730469 1521115214.1020
MEM 133.730469 1521115214.2023
MEM 133.730469 1521115214.3026
MEM 133.730469 1521115214.4029
MEM 133.730469 1521115214.5032
MEM 133.730469 1521115214.6035
MEM 133.730469 1521115214.7038
MEM 133.730469 1521115214.8043
MEM 133.730469 1521115214.9045
MEM 133.730469 1521115215.0046
MEM 133.730469 1521115215.1048
MEM 133.730469 1521115215.2054
MEM 134.187500 1521115215.3058
MEM 134.187500 1521115215.4064
MEM 134.187500 1521115215.5067
MEM 134.472656 1521115215.6067
MEM 134.558594 1521115215.7076
MEM 134.558594 1521115215.8081
MEM 134.558594 1521115215.9093
MEM 134.558594 1521115216.0102
MEM 134.558594 1521115216.1112
MEM 134.558594 1521115216.2115
MEM 134.558594 1521115216.3117
MEM 134.582031 1521115216.4127
MEM 134.582031 1521115216.5130
MEM 134.582031 1521115216.6139
MEM 134.582031 1521115216.7146
MEM 134.582031 1521115216.8156
MEM 134.582031 1521115216.9156
MEM 134.582031 1521115217.0160
MEM 134.582031 1521115217.1169
MEM 134.582031 1521115217.2170
MEM 134.582031 1521115217.3173
MEM 134.582031 1521115217.4178
MEM 134.582031 1521115217.5179
MEM 134.582031 1521115217.6186
MEM 134.582031 1521115217.7197
MEM 134.582031 1521115217.8198
MEM 134.582031 1521115217.9203
MEM 134.582031 1521115218.0208
MEM 134.597656 1521115218.1214
MEM 134.597656 1521115218.2218
MEM 134.597656 1521115218.3225
MEM 122.906250 1521115218.4228
